iter	Passed	Remaining
764	9578	2942
765	9591	2930
766	9603	2917
767	9616	2904
768	9628	2892
769	9640	2879
770	9653	2867
771	9665	2854
772	9678	2842
773	9690	2829
774	9702	2816
775	9715	2804
776	9726	2791
777	9739	2779
778	9751	2766
779	9764	2754
780	9777	2741
781	9789	2729
782	9802	2716
783	9814	2703
784	9825	2691
785	9838	2678
786	9849	2665
787	9862	2653
788	9874	2640
789	9886	2628
790	9899	2615
791	9911	2602
792	9923	2590
793	9936	2578
794	9948	2565
795	9960	2552
796	9973	2540
797	9986	2527
798	9997	2515
799	10010	2502
800	10022	2489
801	10034	2477
802	10047	2464
803	10059	2452
804	10072	2439
805	10084	2427
806	10097	2414
807	10109	2402
808	10121	2389
809	10134	2377
810	10146	2364
811	10158	2352
812	10170	2339
813	10182	2326
814	10194	2314
815	10206	2301
816	10218	2288
817	10230	2276
818	10241	2263
819	10254	2250
820	10266	2238
821	10278	2225
822	10291	2213
823	10303	2200
824	10316	2188
825	10328	2175
826	10340	2163
827	10352	2150
828	10364	2137
829	10375	2125
830	10389	2112
831	10400	2100
832	10413	2087
833	10425	2075
834	10437	2062
835	10448	2049
836	10461	2037
837	10472	2024
838	10485	2012
839	10497	1999
840	10509	1986
841	10521	1974
842	10532	1961
843	10545	1949
844	10557	1936
845	10569	1924
846	10582	1911
847	10594	1898
848	10605	1886
849	10618	1873
850	10630	1861
851	10642	1848
852	10654	1836
853	10667	1823
854	10679	1811
855	10691	1798
856	10704	1786
857	10717	1773
858	10728	1760
859	10740	1748
860	10751	1735
861	10765	1723
862	10778	1711
863	10790	1698
864	10802	1685
865	10815	1673
866	10826	1660
867	10839	1648
868	10850	1635
869	10862	1623
870	10875	1610
871	10888	1598
872	10900	1585
873	10913	1573
874	10925	1560
875	10938	1548
876	10949	1535
877	10962	1523
878	10973	1510
879	10986	1498
880	10999	1485
881	11012	1473
882	11023	1460
883	11036	1448
884	11047	1435
885	11060	1423
886	11072	1410
887	11085	1398
888	11097	1385
889	11109	1373
890	11122	1360
891	11134	1348
892	11147	1335
893	11160	1323
894	11171	1310
895	11183	1298
896	11195	1285
897	11208	1273
898	11220	1260
899	11233	1248
900	11245	1235
901	11257	1223
902	11269	1210
903	11281	1198
904	11293	1185
905	11305	1173
906	11317	1160
907	11330	1148
908	11342	1135
909	11355	1123
910	11366	1110
911	11379	1097
912	11391	1085
913	11403	1072
914	11414	1060
915	11427	1047
916	11439	1035
917	11451	1022
918	11464	1010
919	11477	998
920	11488	985
921	11500	972
922	11512	960
923	11524	947
924	11538	935
925	11551	923
926	11562	910
927	11575	898
928	11587	885
929	11599	873
930	11611	860
931	11623	848
932	11636	835
933	11649	823
934	11660	810
935	11673	798
936	11685	785
937	11697	773
938	11710	760
939	11722	748
940	11734	735
941	11746	723
942	11759	710
943	11773	698
944	11785	685
945	11798	673
946	11810	660
947	11823	648
948	11835	636
949	11847	623
950	11860	611
951	11873	598
952	11885	586
953	11895	573
954	11907	561
955	11919	548
956	11932	536
957	11946	523
958	11961	511
959	11974	498
960	11987	486
961	12000	474
962	12012	461
963	12024	449
964	12036	436
965	12048	424
966	12061	411
967	12073	399
968	12086	386
969	12098	374
970	12110	361
971	12122	349
972	12134	336
973	12146	324
974	12159	311
975	12170	299
976	12183	286
977	12195	274
978	12207	261
979	12219	249
980	12232	236
981	12244	224
982	12257	211
983	12269	199
984	12281	187
985	12294	174
986	12306	162
987	12318	149
988	12330	137
989	12342	124
990	12354	112
991	12367	99
992	12380	87
993	12391	74
994	12403	62
995	12416	49
996	12429	37
997	12441	24
998	12453	12
999	12464	0
